cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1983,Huerfano,68,6786.49,1001.99072,804.3928975,9811.371897
All Causes,1983,Jackson,4,1864.49,214.5358784,264.5417873,17690.246
All Causes,1983,Jefferson,1969,406209.21,484.7255925,914.88125,451.9770549
All Causes,1983,Kiowa,21,1972.75,1064.503865,1210.09396,67917.31913
All Causes,1983,Kit Carson,77,7810.53,985.8485916,987.1400334,11684.72707
All Causes,1983,Lake,36,7704.48,467.2606068,1004.949258,37375.30008
All Causes,1983,La Plata,199,30890.55,644.2099607,1005.508925,4963.750125
All Causes,1983,Larimer,809,162849.95,496.7763269,718.8944179,623.2012204
All Causes,1983,Las Animas,181,15180.53,1192.316737,1011.373979,6010.948167
All Causes,1983,Lincoln,48,4603.5,1042.684914,785.98701,12421.72692
All Causes,1983,Logan,187,19832.54,942.8948587,943.490685,4515.923813
All Causes,1983,Mesa,682,96720.76,705.1226645,915.1676523,1188.230719
All Causes,1983,Mineral,7,923.03,758.3718839,1086.910886,176883.0964
All Causes,1983,Moffat,76,15667.51,485.0802712,1053.198373,14854.84862
All Causes,1983,Montezuma,151,19654.54,768.2703335,1047.949759,7291.888484
All Causes,1983,Montrose,196,25588.55,765.967591,835.3001493,3450.68947
All Causes,1983,Morgan,225,23331.56,964.3590056,991.8752196,4158.532844
All Causes,1983,Otero,231,22336.55,1034.179406,901.8394814,3402.210955
All Causes,1983,Ouray,11,2169.49,507.0316065,561.6835514,30036.84617
All Causes,1983,Park,23,6933.51,331.7223167,676.7996629,26445.78742
All Causes,1983,Phillips,45,4733.45,950.6807931,699.9208985,10907.64681
All Causes,1983,Pitkin,20,10252.54,195.073611,633.6590516,38904.05765
All Causes,1983,Prowers,118,14149.52,833.950551,941.3235096,7253.489703
All Causes,1983,Pueblo,1062,123479.72,860.0602593,922.1320065,781.2182505
All Causes,1983,Rio Blanco,36,7666.48,469.5766506,870.7536868,22838.07436
All Causes,1983,Rio Grande,112,11418.55,980.8600917,1001.221286,8528.375202
All Causes,1983,Routt,67,13898.53,482.0653695,1114.475793,19030.74039
All Causes,1983,Saguache,36,4479.51,803.6593288,957.8779778,24810.17044
All Causes,1983,San Juan,6,1054.75,568.855179,736.0810927,98039.13198
All Causes,1983,San Miguel,8,2959.49,270.3168451,424.4701371,26574.8431
All Causes,1983,Sedgwick,33,3204.53,1029.7922,804.3911538,19644.38826
All Causes,1983,Summit,16,10356.65,154.4901102,265.5235296,7373.27745
All Causes,1983,Teller,51,10217.58,499.139718,850.0093118,16559.00371
All Causes,1983,Washington,57,5615.51,1015.045828,973.5333427,16412.34449
All Causes,1983,Weld,736,127379.7,577.8000733,777.3164649,811.0118302
All Causes,1983,Yuma,99,10078.55,982.2841579,854.9732375,7222.674031
All Causes,1983,Unknown,,,,,
All Causes,1984,Colorado,20356,3174886.61,641.1567562,919.3277482,40.34836422
All Causes,1984,Adams,1399,265816.36,526.3031967,905.2692081,637.3320185
All Causes,1984,Alamosa,95,12973.54,732.2596608,1031.648139,10832.07122
All Causes,1984,Arapahoe,1527,367333.49,415.6985523,914.8457902,614.3316892
All Causes,1984,Archuleta,21,5026.51,417.7849044,609.1707265,20240.55697
All Causes,1984,Baca,50,5096.51,981.0635121,851.9852943,14396.81876
All Causes,1984,Bent,60,5883.49,1019.802872,870.7062711,12154.65791
All Causes,1984,Boulder,1045,210270.85,496.9780642,840.7865028,663.795358
All Causes,1984,Broomfield,,,,,
All Causes,1984,Chaffee,123,12884.52,954.6339328,984.0221178,7728.554183
All Causes,1984,Cheyenne,22,2284.2,963.138079,1026.15455,47797.30858
All Causes,1984,Clear Creek,34,7792.53,436.3152917,720.9978252,17434.81471
All Causes,1984,Conejos,55,8044.48,683.6986356,840.5960015,12440.20106
All Causes,1984,Costilla,26,3312.56,784.8914435,822.0756388,26256.441
All Causes,1984,Crowley,40,2938.54,1361.220198,894.8441923,19302.132
All Causes,1984,Custer,15,1943.48,771.8113899,818.25162,44319.92905
All Causes,1984,Delta,281,24060.6,1167.884425,1000.065838,3437.093511
All Causes,1984,Denver,4620,496718.24,930.1047612,972.9993971,198.818291
All Causes,1984,Dolores,12,1733.19,692.3649456,852.1171071,58240.61245
All Causes,1984,Douglas,126,36372.57,346.4148945,919.6588481,7731.205407
All Causes,1984,Eagle,39,16816.52,231.9148076,757.8160628,24361.66737
All Causes,1984,Elbert,52,8306.5,626.0157708,912.961985,15831.53937
All Causes,1984,El Paso,1836,354800.01,517.474619,884.2283073,435.7656781
All Causes,1984,Fremont,421,31341.57,1343.263914,1100.74594,2793.819028
All Causes,1984,Garfield,158,25687.56,615.0837215,905.1062538,4957.517491
All Causes,1984,Gilpin,11,3058.63,359.6381386,602.7046972,36471.26464
All Causes,1984,Grand,39,8940.95,436.1952589,1028.712982,38773.59651
All Causes,1984,Gunnison,32,10464.52,305.7952013,675.3934548,13916.25648
All Causes,1984,Hinsdale,,625.9,,,
All Causes,1984,Huerfano,73,6684.55,1092.070521,834.2685044,9438.325923
All Causes,1984,Jackson,12,1845.28,650.3078124,773.8998281,50926.7604
All Causes,1984,Jefferson,2059,413762.44,497.6285426,967.5828598,473.9288724
All Causes,1984,Kiowa,14,1996.85,701.1042392,668.3788799,31048.34367
All Causes,1984,Kit Carson,101,7857.5,1285.396118,1248.053588,13629.15716
All Causes,1984,Lake,32,7210.24,443.8132434,802.0681746,29638.38432
All Causes,1984,La Plata,180,31117.55,578.4517097,871.7184043,4223.403421
All Causes,1984,Larimer,959,166545.92,575.817168,816.3723945,666.7457545
All Causes,1984,Las Animas,197,14759.5,1334.733561,1040.569125,5281.935828
All Causes,1984,Lincoln,56,4510.53,1241.539243,926.3126927,15500.21947
All Causes,1984,Logan,176,19427.57,905.9290483,907.0225498,4333.222062
All Causes,1984,Mesa,725,93519.67,775.2379794,965.7441593,1219.233394
All Causes,1984,Mineral,5,912.96,547.6691202,746.2009019,117932.554
All Causes,1984,Moffat,68,14457.56,470.3421601,948.7115204,13591.24767
All Causes,1984,Montezuma,121,19871.57,608.9101163,826.6258488,5692.763622
All Causes,1984,Montrose,225,24988.54,900.4127492,934.3904356,3706.229792
All Causes,1984,Morgan,219,22872.51,957.4812734,950.6192983,3934.441754
All Causes,1984,Otero,239,21860.58,1093.292127,960.5607187,3756.872088
All Causes,1984,Ouray,21,2252.49,932.3015862,1143.463698,62703.83484
All Causes,1984,Park,22,6792.47,323.8880702,667.9854055,26775.63102
All Causes,1984,Phillips,51,4475.53,1139.529843,758.4271413,11331.31208
All Causes,1984,Pitkin,28,10818.51,258.8156779,602.5932579,27867.19733
All Causes,1984,Prowers,121,14352.54,843.056351,960.9930667,7434.926725
